name,latitude,longitude,is_similar
kbyJYJzqEVkEmpc,13.022860036406271,77.6889113638505,False
qbgufTPzZEkxNHV,13.093674816189669,77.70277883001796,False
XWIXkuyDacCmsaE,12.902878648292315,77.63320683133851,False
PWMPzEhgQSIJFtLl,12.864532497107326,77.73143549579069,True
PWMPzEhgQSIJFtL,12.865321165438637,77.7314729992191,True
MHveToenbpcMPeW,13.070456018571468,77.61095504838325,False
WItnvWIntfoiilf,13.002355807337722,77.68354833818422,False
DPjNIjFDGUdRaNP,12.98265490445029,77.59337744207735,False
SMLuzwDVgJxZDJm,13.065281841410734,77.47249963352621,False
vAbbuCYbFLCXICj,12.990463234256683,77.67294947673729,False
rLfczOfLhEoRnGZ,12.909937845030036,77.68557472225271,False
edieHBeImKgBQAJ,12.938959131040832,77.46586954486291,False
GOwLhWmXEfYOmVX,12.901291142437978,77.67374439217214,False
orOQKFbRAoHeqcJ,12.889252276801471,77.59694536804952,False
CdWAxHeYVjKBRoq,13.093738229959008,77.71307803700402,False
lqKiDFBZBTWUez,12.983261295304194,77.67860107706478,True
lqKiDFBZBTWXUez,12.98372612827221,77.67840867602989,True
eNmJDTcGphYUOiL,12.90105404569474,77.72835216668719,False
sjislLxiXZmXLXrA,12.873688787580445,77.50616775642054,True
sjislLxiXZmXLXr,12.874079493237168,77.50552922468972,True
PMiOQVrAkdXaIku,12.999143465806814,77.6242709621707,False
tnbuHQPEFCTHbM,12.990843895648302,77.5440597112632,True
KtnbuHQPEFCTHbM,12.99117668224228,77.54470053564766,True
XLAftyVglwWYsGW,12.91219248439651,77.73902379020363,False
rZxvAzqBqmxjOvp,13.082419121567929,77.49799200257667,False
zQDGraifUKPvJXrh,12.912486140806315,77.7199094108049,True
zQDGraifUKPvJXr,12.912090285613802,77.72061060421989,True
nDUUMkFmhvWSeKA,12.999385526105842,77.52447072691433,False
pTSAacswfCkLTrH,12.878808961138802,77.59037237914158,False
LnDIkeWZGiDzBbG,12.951539591047544,77.47294796577847,False
ChJfRzoluYXLLJA,12.8882750559302,77.6045936367366,False
SwTyWHAtgBNNwyO,12.983947369705833,77.65270791483387,False
kpkmIKHoUVIufgD,12.988933299672844,77.6135886686879,False
IcpEXtdzmmRLCWr,12.878666224798664,77.58388550743625,False
AjpQlKTWzTIbhZR,12.995080173448487,77.65264226480396,False
fsJxXgslhutMiTc,12.89721099801046,77.54057680717833,False
KdyidcbCRDnYnmN,12.87863062732313,77.61571364347697,False
QFXbeahTXokzxXE,12.865956458252535,77.7382320646334,False
IcDAjGOxTMfSHPF,13.009243799656282,77.47278516130243,False
TVAaGCcKLfPKBSc,13.038364959722797,77.65188765834407,False
ZqYiEiXtnNdnMQd,12.890396541175786,77.51178720489396,False
skziWqCsJpYkKUr,13.05053951541846,77.5644645133722,False
EzXfmMXrcmOPODa,13.094561099592813,77.70123553132788,False
osLsWAOQUdGDZYQ,12.996804308584515,77.67688770773503,False
xaxGBTpqceCpeQo,13.082417744951508,77.48956202410079,False
vowfjrCAhFjsuFU,13.094635211576126,77.67534984195395,False
sTPYKDcRDklHquz,13.060097162171068,77.5292802194977,False
hERpHEmvMnatBqq,12.957686677642144,77.44905194090286,False
lwzJQhDNjFeZaGu,13.0839943020055,77.64385892644782,False
ZtGYasvPbFraLKt,12.941266632251436,77.45607967243131,False
scHiTOxyvnkkeoK,13.079364414475078,77.54146125669205,False
kDCpRTCvAAxSHki,12.920466687436784,77.46194735287851,False
IiUaIKLepwZKsK,12.910422441231065,77.59244420713948,True
IiUaIKLepwZlKsK,12.91128729120406,77.59196143907485,True
YThcnZeITZSBWti,13.061704191299947,77.46981109255367,False
UGMWtjvSRqgJVnG,13.017528953796576,77.62423507924213,False
OUidkjxBLedTuHH,13.041627852440817,77.72598449428236,False
izdTHTBEbYaEgOX,13.033651630319612,77.71765686327974,False
PUEPIdrCLOanVoe,12.99804690574572,77.62951874620994,False
AHzXGncOYekvbc,12.906721488679834,77.703402737544,True
AHzXGncOYekMvbc,12.905894120524152,77.70314403967068,True
wUimqZxiywwEpgW,12.870097156197234,77.561422159409,False
WmrWTJjSeoDNKrY,13.052554034724048,77.72506751778647,False
PSKniQjkACaYDAF,12.854642265109044,77.5179598672417,False
ldVvnlZYRRQIARe,13.00623614473353,77.64876609500438,False
zXFOuQMpUCQNvwN,13.001475807423242,77.55459404363185,False
cfCcavzCtxehzgB,13.016351065442011,77.71404579925819,False
bYYGjWYrhFUbeMw,13.09147894409711,77.64326136511889,False
